depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timestamp
900.284,1.5014448,135.5188,-0.39877295,72.40744,48.29446,-18.137749,2020-12-11 16:03:05.184,1607655785.184
900.76483,1.5014845,133.76622,-0.3993556,72.39176,48.330013,-17.498571,2020-12-11 16:03:05.184,1607655785.184
900.97614,1.5020548,133.68982,-0.398387,72.37869,48.365562,-17.963345,2020-12-11 16:03:05.184,1607655785.184
901.3513,1.5020345,133.76845,-0.39993674,72.37869,48.40219,-18.375988,2020-12-11 16:03:06.048,1607655786.048
901.72656,1.5020548,135.91649,-0.39974153,72.35778,48.43882,-18.475344,2020-12-11 16:03:06.048,1607655786.048
902.10175,1.5019531,135.9547,-0.3986761,72.35517,48.473293,-18.60653,2020-12-11 16:03:06.048,1607655786.048
902.4624,1.5015221,135.74797,-0.39916188,72.34733,48.509922,-17.71931,2020-12-11 16:03:06.912,1607655786.912
902.8522,1.5020548,134.07854,-0.39848387,72.339485,48.54547,-17.87419,2020-12-11 16:03:06.912,1607655786.912
903.28564,1.5002602,134.53691,-0.3986761,72.326416,48.5821,-18.338932,2020-12-11 16:03:06.912,1607655786.912
903.76654,1.500464,135.71426,-0.39964616,72.31596,48.61873,-18.297173,2020-12-11 16:03:06.912,1607655786.912
903.9778,1.5008341,135.59744,-0.39896816,72.313354,48.653202,-18.36826,2020-12-11 16:03:07.776,1607655787.776
904.33844,1.500975,134.72115,-0.3995493,72.29767,48.68983,-18.09314,2020-12-11 16:03:07.776,1607655787.776
904.7282,1.5008264,135.59068,-0.3993556,72.28983,48.72646,-18.275873,2020-12-11 16:03:07.776,1607655787.776
905.08887,1.5015221,134.89642,-0.39780438,72.28722,48.762012,-18.512787,2020-12-11 16:03:08.640,1607655788.64
905.47864,1.5008341,135.42445,-0.3986761,72.276764,48.798637,-18.328209,2020-12-11 16:03:08.640,1607655788.64
905.9012,1.5016059,135.53902,-0.39809644,72.24802,48.83419,-18.321493,2020-12-11 16:03:08.640,1607655788.64
906.40027,1.5027994,134.70093,-0.39906502,72.23495,48.86974,-18.355614,2020-12-11 16:03:08.640,1607655788.64
906.6115,1.5032552,135.17502,-0.39993674,72.22188,48.90637,-18.499908,2020-12-11 16:03:09.504,1607655789.504
906.9685,1.5020345,136.21088,-0.39925724,72.214035,48.94192,-18.852104,2020-12-11 16:03:09.504,1607655789.504
907.36194,1.5032552,136.10524,-0.39925724,72.20881,48.97747,-18.52172,2020-12-11 16:03:09.504,1607655789.504
907.7408,1.504188,134.85597,-0.39983988,72.18529,49.0141,-18.286512,2020-12-11 16:03:10.368,1607655790.368
908.10144,1.5049362,134.84473,-0.39945245,72.172226,49.049652,-18.826479,2020-12-11 16:03:10.368,1607655790.368
908.55316,1.5050588,136.04007,-0.398387,72.167,49.08628,-18.752884,2020-12-11 16:03:10.368,1607655790.368
909.034,1.5049862,135.9367,-0.3981918,72.15131,49.120754,-18.765104,2020-12-11 16:03:10.368,1607655790.368
909.2453,1.5056967,135.3997,-0.39780438,72.12257,49.15846,-18.952404,2020-12-11 16:03:11.232,1607655791.232
